X,Y,ID,Case_Number,Address,Occurred_Date,Occurred_Month,Occurred_Year,Crime_Type,Multiple_Shooting,Gender,Race,Ethnicity,Victim_Age,Victim_Age_Band,Latitude,Longitude,ObjectId
-77.59285765,43.18154714,7509ef3b3ffcde40161989b3f39184ad,13-013078,229 Roycroft Dr,2013/01/14 05:00:00+00,1,2013,Homicide,No,M,BLACK,NON HISPANIC,24,15-24,43.18154714,-77.59285765,2213
-77.5912952,43.14538729,e51edca9bd1a5f2e30bcb98e7eb2387b,13-011940,600 Monroe Ave,2013/01/12 05:00:00+00,1,2013,Shooting,No,F,BLACK,NON HISPANIC,31,25-44,43.14538729,-77.5912952,2214
-77.56670327,43.16602443,68b4e26dad201f8573cf2c24e7482732,13-009373,440 Parsells Ave,2013/01/10 05:00:00+00,1,2013,Shooting,No,M,BLACK,NON HISPANIC,16,15-24,43.16602443,-77.56670327,2215
-77.62538048,43.14288669,78b1830a5183e335a264008082c98c86,13-007694,98 Bartlett St,2013/01/09 05:00:00+00,1,2013,Shooting,No,M,BLACK,NON HISPANIC,21,15-24,43.14288669,-77.62538048,2216
-77.62155383,43.1803792,397fa041f08c995547198a37f194f273,13-008474,116 Ave D,2013/01/09 05:00:00+00,1,2013,Shooting,No,M,WHITE,HISPANIC,28,25-44,43.1803792,-77.62155383,2217
-77.62884104,43.17192923,29ecb29a2e840f6efa3f06097d79c7b6,09-257934,10 Phelps St,2009/08/16 04:00:00+00,8,2009,Shooting,No,M,BLACK,NON HISPANIC,26,25-44,43.17192923,-77.62884104,2218
-77.5912846,43.1816849,689722a660404bd3ffef6f6a4ed372d0,13-007220,292 Carter St,2013/01/08 05:00:00+00,1,2013,Shooting,No,M,BLACK,NON HISPANIC,30,25-44,43.1816849,-77.5912846,2219
-77.58330444,43.18339063,39d58f417eb5c68c0e8c7dff36b8bcb7,12-244708,63 Grafton St,2012/08/04 04:00:00+00,8,2012,Shooting,No,M,BLACK,NON HISPANIC,37,25-44,43.18339063,-77.58330444,2220
-77.56674557,43.16634546,2dcb4de4b1d82bb4f7d98f327d39e8f6,13-337898,121 Greeley St,2013/11/25 05:00:00+00,11,2013,Shooting,No,F,BLACK,NON HISPANIC,30,25-44,43.16634546,-77.56674557,2221
-77.64581689,43.15511418,07dbd974bcfbf9a7910178d0b89b3afa,13-000319,761 Maple St,2013/01/01 05:00:00+00,1,2013,Shooting,No,F,BLACK,NON HISPANIC,27,25-44,43.15511418,-77.64581689,2222
-77.65082687,43.13829984,4f384dddbb5b6ed7ab446803070096e7,13-333976,338 Thurston Rd,2013/11/21 05:00:00+00,11,2013,Shooting,No,M,BLACK,NON HISPANIC,35,25-44,43.13829984,-77.65082687,2223
-77.62629781,43.14254148,d34b98dcf37fbb78aefb19d5119c1983,09-256250,261 Reynolds St,2009/08/15 04:00:00+00,8,2009,Shooting,No,F,WHITE,HISPANIC,21,15-24,43.14254148,-77.62629781,2224
-77.58447963,43.16984698,9f3a21ba354c3e075b4bf1caa1c5b437,13-000320,336 Fourth St,2013/01/01 05:00:00+00,1,2013,Shooting,No,F,BLACK,NON HISPANIC,27,25-44,43.16984698,-77.58447963,2225
-77.63730729,43.15756574,8e625f2f1f00ebbc31aa33db921fdbfa,13-334923,356 Campbell St,2013/11/21 05:00:00+00,11,2013,Shooting,No,M,BLACK,NON HISPANIC,38,25-44,43.15756574,-77.63730729,2226
-77.62308119,43.15110779,1d60042605ab126746a6afbbb35eb10a,12-243425,233 Troup St,2012/08/03 04:00:00+00,8,2012,Shooting,No,M,BLACK,NON HISPANIC,18,15-24,43.15110779,-77.62308119,2227
-77.63630554,43.18036753,7f7472e016f448fe70b83805efa746f5,09-255566,118 Mason St,2009/08/14 04:00:00+00,8,2009,Shooting,Yes,M,BLACK,NON HISPANIC,28,25-44,43.18036753,-77.63630554,2228
-77.57816948,43.17559066,4757f0d23447221a05bae14e77f3d36d,12-395548,1635 Clifford Ave,2012/12/29 05:00:00+00,12,2012,Shooting,No,M,BLACK,NON HISPANIC,19,15-24,43.17559066,-77.57816948,2229
-77.63906911,43.15561121,a7a302758deb5be6ce6c13d33d915d7a,12-034161,179 Child Street,2012/02/03 05:00:00+00,2,2012,Shooting,No,M,BLACK,NON HISPANIC,27,25-44,43.15561121,-77.63906911,2230
-77.6444784,43.1691779,fa3f8fed8dac5f43fb413be9b80e32f5,12-029667,202 Otis Street,2012/01/30 05:00:00+00,1,2012,Shooting,No,M,WHITE,NON HISPANIC,54,45-Older,43.1691779,-77.6444784,2231
-77.60093169,43.18346565,10ab7beab5164bd605b3f4d18eed27e7,12-023735,256 Weyl Street,2012/01/24 05:00:00+00,1,2012,Shooting,No,F,BLACK,NON HISPANIC,20,15-24,43.18346565,-77.60093169,2232
-77.58681852,43.17092098,993ab327bb6928f1cdb46646b524a90d,12-022486,268 Bay Street,2012/01/23 05:00:00+00,1,2012,Shooting,No,M,BLACK,NON HISPANIC,23,15-24,43.17092098,-77.58681852,2233
-77.56442237,43.16609739,6fb9bb8937f88a0806b9ad420b1e4ab9,12-021128,520 Parsells Ave,2012/01/22 05:00:00+00,1,2012,Shooting,Yes,M,BLACK,NON HISPANIC,20,15-24,43.16609739,-77.56442237,2234
-77.56442237,43.16609739,e9b3e7c29fcdc14975bda4cda9a7b902,12-021128,520 Parsells Ave,2012/01/22 05:00:00+00,1,2012,Shooting,Yes,F,BLACK,NON HISPANIC,16,15-24,43.16609739,-77.56442237,2235
-77.63534859,43.14179567,b71b23ac0b5e4c714356c94aa453eb1f,12-021421,534 Columbia Ave,2012/01/22 05:00:00+00,1,2012,Homicide,No,M,BLACK,NON HISPANIC,18,15-24,43.14179567,-77.63534859,2236
-77.63902896,43.16325603,e01496fe961bc785d374b1519d7ec7d7,12-394586,555 Child St,2012/12/28 05:00:00+00,12,2012,Shooting,No,M,WHITE,NON HISPANIC,22,15-24,43.16325603,-77.63902896,2237
-77.63783803,43.14368935,9f10f6c252ce79c3027ba2f3ac42b33e,12-021713,679 Frost Ave,2012/01/22 05:00:00+00,1,2012,Shooting,No,M,BLACK,NON HISPANIC,39,25-44,43.14368935,-77.63783803,2238
-77.63630554,43.18036753,ebd8204165fe2236cb552f15dd346915,09-255566,118 Mason St,2009/08/14 04:00:00+00,8,2009,Shooting,Yes,M,BLACK,NON HISPANIC,17,15-24,43.18036753,-77.63630554,2239
-77.59567099,43.17503449,87de65a1cfc3947eb06dda596f94abe1,13-331684,917 North St,2013/11/18 05:00:00+00,11,2013,Shooting,No,M,BLACK,NON HISPANIC,21,15-24,43.17503449,-77.59567099,2240
